config,building_type,n_floors,is_floor_ins,region,A_A,A_env,A_MR,A_OR,aspect,h,UA,eta_AC,eta_AH,bt_jp,A_env_model,UA_model,etaA_target,etaA_model,err_A_env,err_UA,err_etaA,clipped,clip_kind,eta_win_temp,eta_win,ok,error
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.5,2.5,3.0,集合,178.97999999999996,0.5,2.914516129032258,0.9269778322182325,-1.58798242431579e-14,0.0,-68.19445179992782,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.5,3.0,3.6,集合,178.97999999999996,0.5,3.49741935483871,0.9269778322182325,-1.58798242431579e-14,0.0,-73.49537649993985,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.5,3.5,4.2,集合,178.97999999999996,0.5,4.080322580645162,0.9269778322182325,-1.58798242431579e-14,0.0,-77.28175128566274,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.5,4.0,4.8,集合,178.97999999999996,0.5,4.663225806451613,0.9269778322182325,-1.58798242431579e-14,0.0,-80.1215323749549,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.5,4.5,5.4,集合,178.97999999999996,0.5,5.246129032258065,0.9269778322182325,-1.58798242431579e-14,0.0,-82.33025099995992,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.5,5.0,6.0,集合,178.97999999999996,0.5,5.829032258064516,0.9269778322182325,-1.58798242431579e-14,0.0,-84.09722589996392,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.6,0.5,0.6,集合,178.97999999999996,0.6,0.5829032258064516,1.112373398661879,-1.58798242431579e-14,0.0,90.83328920043301,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.6,1.0,1.2,集合,178.97999999999996,0.6,1.1658064516129032,1.112373398661879,-1.58798242431579e-14,0.0,-4.58335539978349,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.6,1.5,1.8,集合,178.97999999999996,0.6,1.748709677419355,1.112373398661879,-1.58798242431579e-14,0.0,-36.38890359985567,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.6,2.0,2.4,集合,178.97999999999996,0.6,2.3316129032258064,1.112373398661879,-1.58798242431579e-14,0.0,-52.29167769989175,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.6,2.5,3.0,集合,178.97999999999996,0.6,2.914516129032258,1.112373398661879,-1.58798242431579e-14,0.0,-61.83334215991339,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.6,3.0,3.6,集合,178.97999999999996,0.6,3.49741935483871,1.112373398661879,-1.58798242431579e-14,0.0,-68.19445179992783,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.6,3.5,4.2,集合,178.97999999999996,0.6,4.080322580645162,1.112373398661879,-1.58798242431579e-14,0.0,-72.73810154279529,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.6,4.0,4.8,集合,178.97999999999996,0.6,4.663225806451613,1.112373398661879,-1.58798242431579e-14,0.0,-76.14583884994587,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.6,4.5,5.4,集合,178.97999999999996,0.6,5.246129032258065,1.112373398661879,-1.58798242431579e-14,0.0,-78.79630119995188,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.6,5.0,6.0,集合,178.97999999999996,0.6,5.829032258064516,1.112373398661879,-1.58798242431579e-14,0.0,-80.91667107995669,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.7,0.5,0.6,集合,178.97999999999996,0.7000000000000002,0.5829032258064516,1.2977689651055253,-1.58798242431579e-14,3.1720657846433045e-14,122.63883740050518,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.7,1.0,1.2,集合,178.97999999999996,0.7000000000000002,1.1658064516129032,1.2977689651055253,-1.58798242431579e-14,3.1720657846433045e-14,11.319418700252589,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.7,1.5,1.8,集合,178.97999999999996,0.7000000000000002,1.748709677419355,1.2977689651055253,-1.58798242431579e-14,3.1720657846433045e-14,-25.787054199831612,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.7,2.0,2.4,集合,178.97999999999996,0.7000000000000002,2.3316129032258064,1.2977689651055253,-1.58798242431579e-14,3.1720657846433045e-14,-44.3402906498737,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.7,2.5,3.0,集合,178.97999999999996,0.7000000000000002,2.914516129032258,1.2977689651055253,-1.58798242431579e-14,3.1720657846433045e-14,-55.47223251989897,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.7,3.0,3.6,集合,178.97999999999996,0.7000000000000002,3.49741935483871,1.2977689651055253,-1.58798242431579e-14,3.1720657846433045e-14,-62.8935270999158,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.7,3.5,4.2,集合,178.97999999999996,0.7000000000000002,4.080322580645162,1.2977689651055253,-1.58798242431579e-14,3.1720657846433045e-14,-68.19445179992783,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.7,4.0,4.8,集合,178.97999999999996,0.7000000000000002,4.663225806451613,1.2977689651055253,-1.58798242431579e-14,3.1720657846433045e-14,-72.17014532493685,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.7,4.5,5.4,集合,178.97999999999996,0.7000000000000002,5.246129032258065,1.2977689651055253,-1.58798242431579e-14,3.1720657846433045e-14,-75.26235139994387,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.7,5.0,6.0,集合,178.97999999999996,0.7000000000000002,5.829032258064516,1.2977689651055253,-1.58798242431579e-14,3.1720657846433045e-14,-77.7361162599495,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.8,0.5,0.6,集合,178.97999999999996,0.8,0.5829032258064516,1.4831645315491722,-1.58798242431579e-14,0.0,154.4443856005774,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.8,1.0,1.2,集合,178.97999999999996,0.8,1.1658064516129032,1.4831645315491722,-1.58798242431579e-14,0.0,27.22219280028871,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.8,1.5,1.8,集合,178.97999999999996,0.8,1.748709677419355,1.4831645315491722,-1.58798242431579e-14,0.0,-15.185204799807536,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.8,2.0,2.4,集合,178.97999999999996,0.8,2.3316129032258064,1.4831645315491722,-1.58798242431579e-14,0.0,-36.38890359985565,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.8,2.5,3.0,集合,178.97999999999996,0.8,2.914516129032258,1.4831645315491722,-1.58798242431579e-14,0.0,-49.11112287988452,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.8,3.0,3.6,集合,178.97999999999996,0.8,3.49741935483871,1.4831645315491722,-1.58798242431579e-14,0.0,-57.59260239990377,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.8,3.5,4.2,集合,178.97999999999996,0.8,4.080322580645162,1.4831645315491722,-1.58798242431579e-14,0.0,-63.650802057060375,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.8,4.0,4.8,集合,178.97999999999996,0.8,4.663225806451613,1.4831645315491722,-1.58798242431579e-14,0.0,-68.19445179992782,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.8,4.5,5.4,集合,178.97999999999996,0.8,5.246129032258065,1.4831645315491722,-1.58798242431579e-14,0.0,-71.72840159993585,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.8,5.0,6.0,集合,178.97999999999996,0.8,5.829032258064516,1.4831645315491722,-1.58798242431579e-14,0.0,-74.55556143994227,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.9,0.5,0.6,集合,178.97999999999996,0.9,0.5829032258064516,1.6685600979928186,-1.58798242431579e-14,0.0,186.24993380064956,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.9,1.0,1.2,集合,178.97999999999996,0.9,1.1658064516129032,1.6685600979928186,-1.58798242431579e-14,0.0,43.124966900324786,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.9,1.5,1.8,集合,178.97999999999996,0.9,1.748709677419355,1.6685600979928186,-1.58798242431579e-14,0.0,-4.583355399783484,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.9,2.0,2.4,集合,178.97999999999996,0.9,2.3316129032258064,1.6685600979928186,-1.58798242431579e-14,0.0,-28.43751654983761,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.9,2.5,3.0,集合,178.97999999999996,0.9,2.914516129032258,1.6685600979928186,-1.58798242431579e-14,0.0,-42.750013239870086,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.9,3.0,3.6,集合,178.97999999999996,0.9,3.49741935483871,1.6685600979928186,-1.58798242431579e-14,0.0,-52.291677699891736,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.9,3.5,4.2,集合,178.97999999999996,0.9,4.080322580645162,1.6685600979928186,-1.58798242431579e-14,0.0,-59.10715231419292,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.9,4.0,4.8,集合,178.97999999999996,0.9,4.663225806451613,1.6685600979928186,-1.58798242431579e-14,0.0,-64.21875827491881,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.9,4.5,5.4,集合,178.97999999999996,0.9,5.246129032258065,1.6685600979928186,-1.58798242431579e-14,0.0,-68.19445179992783,True,窓なし(不透明のみ),,0.1,False,
